"Year"	"Stand"	"Treatment"	"Plot"	"PlotID"	"Litterfall_LAI"	"SE"	"SE%"
1992.00	"Old-Field "	"LightThin"	"OFB"	1.00	5.05	0.17	3.55
1992.00	"Old-Field "	"LightThin"	"OFY"	2.00	5.05	0.17	3.55
1992.00	"Thinning"	"B"	"A8"	100.00	1.96	0.29	15.13
1992.00	"Thinning"	"B"	"C2"	103.00	2.01	0.26	12.93
1992.00	"Thinning"	"LD"	"C1"	102.00	2.17	0.20	9.34
1992.00	"Thinning"	"LD"	"C7"	108.00	1.75	0.17	10.01
1992.00	"Thinning"	"NoThin"	"B2"	85.00	5.06	0.28	5.68
1992.00	"Thinning"	"NoThin"	"B7"	90.00	4.49	0.23	5.24
1992.00	"Thinning"	"NoThin"	"HD1"	3.00	4.58	0.32	7.11
1992.00	"Thinning"	"NoThin"	"HD2"	4.00	4.89	0.43	8.86
1992.00	"Thinning"	"NoThin"	"HD3"	5.00	5.45	0.03	0.69
1993.00	"Old-Field "	"LightThin"	"OFB"	1.00	4.82	0.11	2.39
1993.00	"Old-Field "	"LightThin"	"OFY"	2.00	4.82	0.11	2.39
1993.00	"Thinning"	"B"	"A8"	100.00	2.43	0.34	14.03
1993.00	"Thinning"	"B"	"C2"	103.00	2.31	0.34	14.75
1993.00	"Thinning"	"LD"	"C1"	102.00	2.55	0.29	11.56
1993.00	"Thinning"	"LD"	"C7"	108.00	1.97	0.14	7.41
1993.00	"Thinning"	"NoThin"	"B2"	85.00	4.44	0.13	3.07
1993.00	"Thinning"	"NoThin"	"B7"	90.00	4.28	0.17	4.00
1993.00	"Thinning"	"NoThin"	"HD1"	3.00	4.28	0.07	1.85
1993.00	"Thinning"	"NoThin"	"HD2"	4.00	4.62	0.13	2.83
1993.00	"Thinning"	"NoThin"	"HD3"	5.00	4.72	0.01	0.32
1994.00	"Old-Field "	"LightThin"	"OFB"	1.00	4.42	0.10	2.45
1994.00	"Old-Field "	"LightThin"	"OFY"	2.00	4.41	0.10	2.45
1994.00	"Thinning"	"B"	"A8"	100.00	2.00	0.44	22.23
1994.00	"Thinning"	"B"	"C2"	103.00	1.86	0.29	15.68
1994.00	"Thinning"	"LD"	"C1"	102.00	2.50	0.29	11.74
1994.00	"Thinning"	"LD"	"C7"	108.00	1.71	0.18	10.77
1994.00	"Thinning"	"NoThin"	"B2"	85.00	3.88	0.16	4.31
1994.00	"Thinning"	"NoThin"	"B7"	90.00	3.82	0.20	5.30
1994.00	"Thinning"	"NoThin"	"HD1"	3.00	3.35	0.24	7.31
1994.00	"Thinning"	"NoThin"	"HD2"	4.00	3.86	0.68	17.76
1994.00	"Thinning"	"NoThin"	"HD3"	5.00	3.66	0.66	18.23
1995.00	"Mature Monoculture"	"NoThin"	"Chapman"	109.00	3.11	0.57	18.59
1995.00	"Old-Field "	"LightThin"	"OFB"	1.00	4.62	0.09	2.16
1995.00	"Old-Field "	"LightThin"	"OFY"	2.00	4.61	0.09	2.16
1995.00	"Thinning"	"B"	"A8"	100.00	2.81	0.29	10.44
1995.00	"Thinning"	"B"	"C2"	103.00	2.51	0.31	12.32
1995.00	"Thinning"	"LD"	"C1"	102.00	2.53	0.15	6.28
1995.00	"Thinning"	"LD"	"C7"	108.00	2.13	0.17	8.11
1995.00	"Thinning"	"NoThin"	"B2"	85.00	4.10	0.20	5.08
1995.00	"Thinning"	"NoThin"	"B7"	90.00	4.23	0.19	4.64
1995.00	"Thinning"	"NoThin"	"HD1"	3.00	3.92	0.08	2.27
1995.00	"Thinning"	"NoThin"	"HD2"	4.00	4.36	0.37	8.67
1995.00	"Thinning"	"NoThin"	"HD3"	5.00	4.56	0.13	3.01
1996.00	"1970"	"NoThin"	"1970"	23.00	3.97	0.32	8.29
1996.00	"Mature Monoculture"	"NoThin"	"Chapman"	109.00	3.72	0.61	16.46
1996.00	"Old-Field "	"LightThin"	"OFB"	1.00	4.70	0.13	2.95
1996.00	"Old-Field "	"LightThin"	"OFY"	2.00	4.69	0.13	2.95
1996.00	"Thinning"	"B"	"A8"	100.00	3.12	0.36	11.81
1996.00	"Thinning"	"B"	"C2"	103.00	2.93	0.40	13.79
1996.00	"Thinning"	"LD"	"C1"	102.00	2.95	0.29	10.04
1996.00	"Thinning"	"LD"	"C7"	108.00	2.87	0.28	10.01
1996.00	"Thinning"	"NoThin"	"B2"	85.00	4.80	0.19	4.11
1996.00	"Thinning"	"NoThin"	"B7"	90.00	4.53	0.17	3.78
1996.00	"Thinning"	"NoThin"	"HD1"	3.00	4.35	0.30	6.91
1996.00	"Thinning"	"NoThin"	"HD2"	4.00	5.02	0.40	8.09
1996.00	"Thinning"	"NoThin"	"HD3"	5.00	5.13	0.25	4.96
1997.00	"1970"	"NoThin"	"1970"	23.00	4.55	0.33	7.24
1997.00	"Mature Monoculture"	"NoThin"	"Chapman"	109.00	4.42	0.94	21.35
1997.00	"Old-Field "	"LightThin"	"OFB"	1.00	4.06	0.16	4.05
1997.00	"Old-Field "	"LightThin"	"OFY"	2.00	4.05	0.16	4.05
1997.00	"Thinning"	"B"	"A8"	100.00	2.40	0.15	6.38
1997.00	"Thinning"	"B"	"C2"	103.00	2.29	0.27	11.97
1997.00	"Thinning"	"LD"	"C1"	102.00	3.28	0.17	5.32
1997.00	"Thinning"	"LD"	"C7"	108.00	2.46	0.20	8.48
1997.00	"Thinning"	"NoThin"	"B2"	85.00	3.96	0.18	4.75
1997.00	"Thinning"	"NoThin"	"B7"	90.00	3.52	0.17	5.03
1997.00	"Thinning"	"NoThin"	"HD1"	3.00	3.44		
1997.00	"Thinning"	"NoThin"	"HD2"	4.00	4.27	0.58	13.61
1997.00	"Thinning"	"NoThin"	"HD3"	5.00	4.35	0.24	5.71
1998.00	"1970"	"NoThin"	"1970"	23.00	3.95	0.34	8.67
1998.00	"Mature Monoculture"	"NoThin"	"Chapman"	109.00	2.45	0.38	15.56
1998.00	"Old-Field "	"LightThin"	"OFB"	1.00	3.46	0.08	2.34
1998.00	"Old-Field "	"LightThin"	"OFY"	2.00	3.46	0.08	2.34
1998.00	"Spacing"	"PCT"	"2x2"	6.00	1.70		
1998.00	"Spacing"	"PCT"	"3x3"	8.00	4.95	0.68	13.73
1998.00	"Thinning"	"B"	"A8"	100.00	2.27	0.16	7.29
1998.00	"Thinning"	"B"	"C2"	103.00	2.29	0.27	12.03
1998.00	"Thinning"	"LD"	"C1"	102.00	2.44	0.31	13.08
1998.00	"Thinning"	"LD"	"C7"	108.00	1.87	0.14	7.60
1998.00	"Thinning"	"NoThin"	"B2"	85.00	3.30	0.15	4.76
1998.00	"Thinning"	"NoThin"	"B7"	90.00	2.88	0.15	5.53
1998.00	"Thinning"	"NoThin"	"HD1"	3.00	2.50	0.15	6.12
1998.00	"Thinning"	"NoThin"	"HD2"	4.00	3.10	0.10	3.51
1998.00	"Thinning"	"NoThin"	"HD3"	5.00	3.31	0.12	3.62
1999.00	"1970"	"NoThin"	"1970"	23.00	3.99	0.25	6.29
1999.00	"Mature Monoculture"	"NoThin"	"Chapman"	109.00	2.81	0.44	15.73
1999.00	"Old-Field "	"LightThin"	"OFB"	1.00	4.31	0.07	1.73
1999.00	"Old-Field "	"LightThin"	"OFY"	2.00	4.30	0.07	1.73
1999.00	"Thinning"	"B"	"A8"	100.00	2.95	0.25	8.62
1999.00	"Thinning"	"B"	"C2"	103.00	2.99	0.34	11.51
1999.00	"Thinning"	"LD"	"C1"	102.00	3.30	0.07	2.37
1999.00	"Thinning"	"LD"	"C7"	108.00	2.55	0.11	4.60
1999.00	"Thinning"	"NoThin"	"B2"	85.00	4.23	0.04	1.04
1999.00	"Thinning"	"NoThin"	"B7"	90.00	4.04	0.16	4.10
1999.00	"Thinning"	"NoThin"	"HD1"	3.00	3.51	0.27	7.91
1999.00	"Thinning"	"NoThin"	"HD2"	4.00	3.85	0.17	4.44
1999.00	"Thinning"	"NoThin"	"HD3"	5.00	4.33	0.08	2.06
2000.00	"1970"	"NoThin"	"1970"	23.00	4.29	0.34	8.05
2000.00	"Mature Monoculture"	"NoThin"	"Chapman"	109.00	3.35	0.52	15.56
2000.00	"Spacing"	"PCT"	"2x2"	6.00	2.91	1.09	37.59
2000.00	"Spacing"	"PCT"	"3x3"	8.00	5.39	1.18	22.06
2000.00	"Thinning"	"B"	"A8"	100.00	3.51	0.48	13.79
2000.00	"Thinning"	"B"	"C2"	103.00	3.14	0.47	15.22
2000.00	"Thinning"	"LD"	"C1"	102.00	3.92	0.35	9.08
2000.00	"Thinning"	"LD"	"C7"	108.00	2.75	0.21	7.71
2000.00	"Thinning"	"NoThin"	"B2"	85.00	4.70	0.14	3.08
2000.00	"Thinning"	"NoThin"	"B7"	90.00	4.37	0.11	2.60
2000.00	"Thinning"	"NoThin"	"HD1"	3.00	3.74	0.12	3.24
2000.00	"Thinning"	"NoThin"	"HD2"	4.00	4.15	0.20	4.92
2000.00	"Thinning"	"NoThin"	"HD3"	5.00	4.95	0.45	9.11
2001.00	"1970"	"NoThin"	"1970"	23.00	4.38	0.31	7.26
2001.00	"1990"	"NoThin"	"2-18AAA"	18.00	1.73		
2001.00	"1990"	"NoThin"	"3-12B"	19.00	3.64		
2001.00	"1990"	"NoThin"	"4-7F"	20.00	3.68		
2001.00	"1990"	"NoThin"	"Orig 1"	17.00	0.81		
2001.00	"Mature Monoculture"	"NoThin"	"Chapman"	109.00	2.86	0.22	7.94
2001.00	"Old-Field "	"LightThin"	"OFB"	1.00	4.19	0.07	1.84
2001.00	"Old-Field "	"LightThin"	"OFY"	2.00	4.19	0.07	1.84
2001.00	"Spacing"	"PCT"	"2x2"	6.00	3.36	0.82	24.52
2001.00	"Spacing"	"PCT"	"3x3"	8.00	5.33	0.79	14.87
2001.00	"Thinning"	"B"	"A8"	100.00	3.16	0.16	5.19
2001.00	"Thinning"	"B"	"C2"	103.00	3.29	0.42	12.77
2001.00	"Thinning"	"LD"	"C1"	102.00	2.98	0.22	7.47
2001.00	"Thinning"	"LD"	"C7"	108.00	2.21	0.16	7.53
2001.00	"Thinning"	"NoThin"	"B2"	85.00	4.60	0.05	1.18
2001.00	"Thinning"	"NoThin"	"B3"	86.00	3.64	0.30	8.33
2001.00	"Thinning"	"NoThin"	"B4"	87.00	4.70	0.23	4.99
2001.00	"Thinning"	"NoThin"	"B7"	90.00	4.15	0.13	3.37
2001.00	"Thinning"	"NoThin"	"B8"	91.00	4.50	0.14	3.17
2001.00	"Thinning"	"NoThin"	"B9"	92.00	3.90	0.10	2.81
2001.00	"Thinning"	"NoThin"	"HD1"	3.00	3.60	0.12	3.41
2001.00	"Thinning"	"NoThin"	"HD2"	4.00	3.68	0.12	3.28
2001.00	"Thinning"	"NoThin"	"HD3"	5.00	4.14	0.12	3.09
2002.00	"1970"	"NoThin"	"1970"	23.00	4.74	0.27	5.77
2002.00	"1990"	"NoThin"	"2-18AAA"	18.00	2.68		
2002.00	"1990"	"NoThin"	"3-12B"	19.00	4.86		
2002.00	"1990"	"NoThin"	"4-7F"	20.00	5.72		
2002.00	"1990"	"NoThin"	"Orig 1"	17.00	2.52		
2002.00	"Mature Monoculture"	"NoThin"	"Chapman"	109.00	3.18	0.22	6.99
2002.00	"Nutting Preserve"	"NoThin"	"Nutting"	33.00	3.52	0.10	3.06
2002.00	"Spacing"	"PCT"	"2x2"	6.00	3.96	0.09	2.38
2002.00	"Spacing"	"PCT"	"2x2 New"	7.00	4.59	0.36	7.96
2002.00	"Spacing"	"PCT"	"3x3"	8.00	5.85	0.47	8.12
2002.00	"Thinning"	"B"	"A8"	100.00	3.58	0.17	5.00
2002.00	"Thinning"	"B"	"C2"	103.00	3.26	0.25	7.85
2002.00	"Thinning"	"LD"	"C1"	102.00	2.86	0.39	13.64
2002.00	"Thinning"	"LD"	"C7"	108.00	2.07	0.20	9.83
2002.00	"Thinning"	"NoThin"	"B2"	85.00	4.41	0.15	3.48
2002.00	"Thinning"	"NoThin"	"B3"	86.00	4.20	0.36	8.69
2002.00	"Thinning"	"NoThin"	"B4"	87.00	4.91	0.24	5.04
2002.00	"Thinning"	"NoThin"	"B7"	90.00	4.57	0.15	3.48
2002.00	"Thinning"	"NoThin"	"B8"	91.00	4.97	0.22	4.58
2002.00	"Thinning"	"NoThin"	"B9"	92.00	4.48	0.29	6.48
2002.00	"Thinning"	"NoThin"	"HD1"	3.00	4.10	0.22	5.52
2002.00	"Thinning"	"NoThin"	"HD2"	4.00	4.49	0.08	1.81
2002.00	"Thinning"	"NoThin"	"HD3"	5.00	4.70	0.03	0.82
2003.00	"1970"	"NoThin"	"1970"	23.00	4.32	0.15	3.63
2003.00	"1990"	"NoThin"	"2-18AAA"	18.00	3.38		
2003.00	"1990"	"NoThin"	"3-12B"	19.00	5.23		
2003.00	"1990"	"NoThin"	"4-7F"	20.00	5.60		
2003.00	"1990"	"NoThin"	"Orig 1"	17.00	2.83		
