"Year"	"Plot"	"LWKHonerVol"
1992.00	"A1"	183.27
1992.00	"A2"	110.21
1992.00	"A3"	100.71
1992.00	"A4"	101.87
1992.00	"A5"	163.92
1992.00	"A6"	180.45
1992.00	"A7"	184.32
1992.00	"A8"	177.53
1992.00	"A9"	126.51
1992.00	"B2"	360.75
1992.00	"B3"	342.21
1992.00	"B4"	404.12
1992.00	"B5"	230.90
1992.00	"B6"	348.58
1992.00	"B7"	467.89
1992.00	"B8"	521.94
1992.00	"B9"	406.20
1992.00	"C1"	116.59
1992.00	"C2"	203.93
1992.00	"C3"	117.00
1992.00	"C4"	98.33
1992.00	"C5"	207.01
1992.00	"C6"	195.92
1992.00	"C7"	123.69
1992.00	"HD1"	88.61
1992.00	"HD2"	144.16
1992.00	"HD3"	134.37
1993.00	"1970"	79.81
1993.00	"OFB"	481.29
1993.00	"OFY"	519.89
1999.00	"1970"	121.49
1999.00	"A1"	256.18
1999.00	"A2"	145.02
1999.00	"A3"	151.75
1999.00	"A4"	156.71
1999.00	"A5"	225.45
1999.00	"A6"	234.93
1999.00	"A7"	249.93
1999.00	"A8"	250.22
1999.00	"A9"	199.21
1999.00	"B2"	440.79
1999.00	"B3"	427.08
1999.00	"B4"	508.64
1999.00	"B5"	301.03
1999.00	"B6"	398.77
1999.00	"B7"	567.96
1999.00	"B8"	636.96
1999.00	"B9"	488.31
1999.00	"C1"	176.01
1999.00	"C2"	284.71
1999.00	"C3"	179.85
1999.00	"C4"	163.55
1999.00	"C5"	264.81
1999.00	"C6"	272.38
1999.00	"C7"	191.90
1999.00	"HD1"	106.26
1999.00	"HD2"	150.31
1999.00	"HD3"	145.52
1999.00	"OFB"	542.70
1999.00	"OFY"	597.56
2001.00	"1970"	125.34
2001.00	"A1"	286.14
2001.00	"A2"	148.03
2001.00	"A3"	179.38
2001.00	"A4"	194.15
2001.00	"A5"	261.36
2001.00	"A6"	253.64
2001.00	"A7"	276.63
2001.00	"A8"	285.98
2001.00	"A9"	233.33
2001.00	"B2"	491.36
2001.00	"B3"	475.45
2001.00	"B4"	557.27
2001.00	"B5"	334.86
2001.00	"B6"	447.46
2001.00	"B7"	617.22
2001.00	"B8"	687.87
2001.00	"B9"	545.00
2001.00	"C1"	206.54
2001.00	"C2"	320.84
2001.00	"C3"	208.46
2001.00	"C4"	196.51
2001.00	"C5"	298.94
2001.00	"C6"	313.13
2001.00	"C7"	224.96
2001.00	"HD1"	111.54
2001.00	"HD2"	158.50
2001.00	"HD3"	159.73
2001.00	"OFB"	609.26
2001.00	"OFY"	669.21
2002.00	"2x2"	9.72
2002.00	"2x2 New"	12.33
2002.00	"2x2 New out"	4.39
2002.00	"2x2 out"	2.23
2002.00	"3x3"	26.91
2002.00	"3x3 out"	30.23
2002.00	"Nutting"	1429.08
2004.00	"13A"	6.54
2004.00	"1990 Off"	18.26
2004.00	"1D"	11.83
2004.00	"2-18AAA"	8.31
2004.00	"3-12B"	4.81
2004.00	"4-7F"	12.24
2004.00	"Orig 1"	7.80
2006.00	"A1"	303.06
2006.00	"A2"	128.64
2006.00	"A3"	172.67
2006.00	"A4"	144.85
2006.00	"A5"	299.54
2006.00	"A6"	307.10
2006.00	"A7"	321.66
2006.00	"A8"	305.06
2006.00	"A9"	193.01
2006.00	"B2"	562.47
2006.00	"B3"	525.68
2006.00	"B4"	642.91
2006.00	"B5"	390.29
2006.00	"B6"	498.77
2006.00	"B7"	655.24
2006.00	"B8"	719.51
2006.00	"B9"	590.58
2006.00	"C1"	175.07
2006.00	"C2"	380.12
2006.00	"C3"	181.22
2006.00	"C4"	176.76
2006.00	"C5"	309.59
2006.00	"C6"	316.36
2006.00	"C7"	158.44
2006.00	"HD1"	116.98
2006.00	"HD2"	163.56
2006.00	"HD3"	160.00
2008.00	"A1"	281.25
2008.00	"A3"	187.35
2008.00	"A4"	144.66
2008.00	"A5"	281.05
2008.00	"A6"	298.16
2008.00	"A7"	351.66
2008.00	"A8"	342.51
2008.00	"A9"	214.75
2008.00	"B2"	550.34
2008.00	"B3"	537.67
2008.00	"B4"	575.65
2008.00	"B7"	596.19
2008.00	"B8"	708.60
2008.00	"B9"	567.86
2008.00	"C1"	190.45
2008.00	"C2"	401.65
2008.00	"C3"	198.00
2008.00	"C4"	194.39
2008.00	"C5"	310.13
2008.00	"C6"	314.56
2008.00	"C7"	174.93
2010.00	"13A"	22.09
2010.00	"1970"	168.46
2010.00	"1990 Off"	55.36
2010.00	"1D"	37.19
2010.00	"2-18AAA"	29.21
2010.00	"2x2"	57.34
2010.00	"2x2 New"	52.62
2010.00	"2x2 New out"	29.94
2010.00	"2x2 out"	20.34
2010.00	"3-12B"	18.27
2010.00	"3x3"	69.49
2010.00	"3x3 out"	90.02
2010.00	"4-7F"	39.64
2010.00	"Nutting"	1656.84
2010.00	"OFB"	678.79
2010.00	"OFY"	794.48
2010.00	"Orig 1"	25.03
2011.00	"13A"	25.43
2011.00	"1970"	177.58
2011.00	"1D"	42.01
2011.00	"2"	133.78
2011.00	"2-18AAA"	33.60
2011.00	"2x2"	65.79
2011.00	"2x2 New"	58.71
2011.00	"2x2 New out"	33.51
2011.00	"2x2 out"	23.79
2011.00	"3"	120.29
2011.00	"3-12B"	21.74
2011.00	"3x3"	75.52
2011.00	"3x3 out"	98.50
2011.00	"4-7F"	45.40
2011.00	"5"	146.51
2011.00	"6"	103.86
2011.00	"7"	125.43
2011.00	"8"	164.51
2011.00	"A1"	302.73
2011.00	"A3"	214.62
2011.00	"A4"	169.56
2011.00	"A5"	317.24
2011.00	"A6"	289.08
2011.00	"A7"	371.03
2011.00	"A8"	374.69
2011.00	"A9"	235.95
2011.00	"B2"	598.96
2011.00	"B3"	509.95
2011.00	"B4"	597.08
2011.00	"B7"	645.85
2011.00	"B8"	735.17
2011.00	"B9"	628.53
2011.00	"Barn1"	309.43
2011.00	"Barn2"	337.45
2011.00	"Barn3"	203.39
2011.00	"Barn4"	235.29
2011.00	"Barn5"	285.76
2011.00	"Barn6"	304.80
2011.00	"Blue-Spring"	1065.92
2011.00	"BT1"	555.39
2011.00	"BT2"	771.70
2011.00	"BT3"	770.99
2011.00	"BT4"	662.31
2011.00	"BT5"	719.87
2011.00	"BT6"	813.03
2011.00	"C1"	221.00
2011.00	"C2"	418.93
2011.00	"C3"	230.64
2011.00	"C4"	224.56
2011.00	"C5"	346.09
2011.00	"C6"	357.58
2011.00	"C7"	205.86
2011.00	"DL"	1110.28
2011.00	"DL2"	1258.01
2011.00	"H8"	1089.61
2011.00	"HD1"	125.70
2011.00	"HD2"	160.99
2011.00	"HD3"	166.14
2011.00	"HF"	954.94
2011.00	"LD"	93.76
2011.00	"LD2"	136.43
2011.00	"LD3"	113.94
2011.00	"LD4"	121.52
2011.00	"LD5"	80.63
2011.00	"LD6"	82.70
2011.00	"MM"	1208.46
2011.00	"Nutting"	1695.71
2011.00	"OFB"	703.51
2011.00	"OFY"	833.80
2011.00	"Orig 1"	26.63
2011.00	"OTD"	908.86
2011.00	"R1"	130.29
2011.00	"R10"	137.89
2011.00	"R11"	137.05
2011.00	"R2"	70.60
2011.00	"R3"	158.59
2011.00	"R4"	183.14
2011.00	"R5"	163.68
2011.00	"R6"	138.84
2011.00	"R7"	158.71
2011.00	"R8"	110.78
2011.00	"R9"	124.53
2011.00	"Ritz"	1090.76
2011.00	"S1"	766.32
2011.00	"Sewall1"	823.32
2011.00	"Sewall2"	530.13
2011.00	"Sewall3"	533.20
2011.00	"Sewall4"	548.86
2011.00	"Sewall5"	591.55
2011.00	"SG1"	501.18
2011.00	"SG2"	772.64
2011.00	"SG3"	561.67
2011.00	"SW2"	758.11
2011.00	"SW3"	977.01
2011.00	"T43"	631.79
