"PlotID"	"Stand"	"Plot"	"Stand_ID"	"Treatment"	"Plot Size (ha)"	"AreaMeters"	"AreaExpansion"	"AreaExpansionEng"	"Planted"	"Littertraps"	"Cored?"	"SIeng"	"Age2011"	"SI"	"Longitude"	"Latitude"	"Notes"
1.00	"Old-Field "	"OFB"	"E132"	"LightThin"	0.04	400.00	25.00	10.11	0	"Y"	"Y"	63.20	"64"	19.26			""
2.00	"Old-Field "	"OFY"	"E132"	"LightThin"	0.04	400.00	25.00	10.11	0	"Y"	"Y"	64.80	"63"	19.75			""
3.00	"Thinning"	"HD1"	"D32"	"NoThin"	0.01	100.00	100.00	40.46	1	"Y"	"Y"	62.50	"62"	19.10			""
4.00	"Thinning"	"HD2"	"D32"	"NoThin"	0.01	100.00	100.00	40.46	1	"Y"	"Y"	62.50	"62"	19.10			""
5.00	"Thinning"	"HD3"	"D32"	"NoThin"	0.01	100.00	100.00	40.46	1	"Y"	"Y"	62.50	"62"	19.10			""
6.00	"Spacing"	"2x2"	"C65"	"PCT"	0.01	100.00	100.00	40.46	0	"Y"	"Y"	68.95	"27"	21.03			""
7.00	"Spacing"	"2x2 New"	"C65"	"PCT"	0.01	100.00	100.00	40.46	0	"Y"	"Y"	73.40	"29"	23.17			""
8.00	"Spacing"	"3x3"	"C65"	"PCT"	0.01	100.00	100.00	40.46	0	"Y"	"Y"	74.70	"29"	22.77			""
9.00	"Mature Monoculture"	"MM"	"E24"	"NoThin"	0.04	400.00	25.00	10.11	0	"Y"	"Y"	72.70	"114"	22.16			
10.00	"Mature Monoculture"	"DL2"	"E21"	"NoThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	65.00		19.80			""
11.00	"Mature Monoculture"	"HF"	"E24"	"NoThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	62.00		18.90			""
13.00	"Mature Monoculture"	"H8"	"E24"	"NoThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	62.00		18.90			""
14.00	"Split"	"Blue-Spring"	"F12"	"NoThin"	0.04	400.00	25.00	10.11	0	"Y"	"Y"	70.26	"84"	21.42			""
15.00	"Split"	"T43"	"I75"	"LightThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	66.00		20.10			""
16.00	"Split"	"S1"	"I75"	"LightThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	66.00		20.10			""
17.00	"1990"	"Orig 1"	"F9"	"NoThin"	4.0e-03	40.00	250.00	101.17	0	"Y"	"Y"	68.50	"26"	20.88			""
18.00	"1990"	"2-18AAA"	"F9"	"NoThin"	4.0e-03	40.00	250.00	101.17	0	"Y"	"Y"	72.90	"22"	22.22			""
19.00	"1990"	"3-12B"	"F9"	"NoThin"	4.0e-03	40.00	250.00	101.17	0	"Y"	"Y"	71.60	"24"	21.82			""
20.00	"1990"	"4-7F"	"F9"	"NoThin"	4.0e-03	40.00	250.00	101.17	0	"Y"	"Y"	73.32	"24"	22.35			""
21.00	"1990"	"1D"	"F9"	"NoThin"	4.0e-03	40.00	250.00	101.17	0	"Y"	"Y"	69.15	"25"	21.08			""
22.00	"1990"	"13A"	"F9"	"NoThin"	4.0e-03	40.00	250.00	101.17	0	"Y"	"Y"	67.50	"25"	20.57			""
23.00	"1970"	"1970"	"C300"	"NoThin"	0.01	100.00	100.00	40.46	0	"Y"	"Y"	66.60	"47"	20.30			""
24.00	"1970"	"2"	"C300"	"NoThin"	0.01	100.00	100.00	40.46	0	"N"	"Y"	56.00		17.10			""
25.00	"1970"	"5"	"C300"	"NoThin"	0.01	100.00	100.00	40.46	0	"N"	"Y"	64.00		19.80			""
26.00	"1970"	"8"	"C300"	"NoThin"	0.01	100.00	100.00	40.46	0	"N"	"Y"	61.00		18.60			""
27.00	"1970"	"LD"	"C301"	"LD"	0.04	400.00	25.00	10.11	0	"Y"	"Y"	63.60	"41"	19.39			""
28.00	"1970"	"LD2"	"C301"	"LD"	0.04	400.00	25.00	10.11	0	"N"	"Y"	66.00		20.10			""
29.00	"1970"	"LD3"	"C301"	"LD"	0.04	400.00	25.00	10.11	0	"N"	"Y"	55.00		16.80			""
30.00	"1970"	"LD4"	"C301"	"LD"	0.04	400.00	25.00	10.11	0	"N"	"Y"	55.00		16.80			""
31.00	"1970"	"LD5"	"C301"	"LD"	0.04	400.00	25.00	10.11	0	"N"	"Y"	53.00		16.20			""
