"ID"	"Year"	"Stand"	"PlotID"	"Plot"	"Subplot"	"TreeNo"	"TreeNoOld"	"DBH"	"LLB"	"LLW"	"TotHt"	"Ht_Meas?"	"CB_Meas?"	"Status"	"Notes"
1.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	1.00	1.00	20.10	12.83		16.91	""	"PRED"	1.00	""
2.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	2.00	2.00	15.40	12.75		15.55	""	"PRED"	1.00	""
3.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	3.00	3.00	12.80	12.38		14.60	""	"PRED"	1.00	""
4.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	4.00	4.00	18.20	12.87		16.40	""	"PRED"	1.00	""
5.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	5.00	5.00	24.10	12.42		17.84	""	"PRED"	1.00	""
6.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	6.00	6.00	15.20	12.73		15.48	""	"PRED"	1.00	""
7.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	7.00	7.00	25.30	12.22		18.09	""	"PRED"	1.00	""
8.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	8.00	8.00	22.10	12.67		17.40	""	"PRED"	1.00	""
9.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	9.00	9.00	19.40	12.85		16.73	""	"PRED"	1.00	""
10.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	10.00	10.00	15.90	12.79		15.71	""	"PRED"	1.00	""
11.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	11.00	11.00	17.70	12.87		16.26	""	"PRED"	1.00	""
12.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	12.00	12.00	24.10	12.42		17.84	""	"PRED"	1.00	""
13.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	13.00	13.00	24.20	12.40		17.86	""	"PRED"	1.00	""
14.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	14.00	14.00	15.70	12.77		15.65	""	"PRED"	1.00	""
15.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	15.00	15.00	14.70	12.67		15.31	""	"PRED"	1.00	""
16.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	16.00	16.00	16.40	12.82		15.87	""	"PRED"	1.00	""
17.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	17.00	17.00	18.00	12.87		16.35	""	"PRED"	1.00	""
18.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	18.00	18.00	13.80	12.55		14.99	""	"PRED"	1.00	""
19.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	19.00	19.00	18.10	12.87		16.38	""	"PRED"	1.00	""
20.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	20.00	20.00	31.30	10.83		19.18	""	"PRED"	1.00	""
21.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	21.00	21.00	16.90	12.84		16.03	""	"PRED"	1.00	""
22.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	22.00	22.00	11.00	11.97		13.83	""	"PRED"	1.00	""
23.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	23.00	23.00	16.90	12.84		16.03	""	"PRED"	1.00	""
24.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	24.00	24.00	24.40	12.37		17.91	""	"PRED"	1.00	""
25.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	25.00	25.00	23.10	12.56		17.63	""	"PRED"	1.00	""
26.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	26.00	26.00	22.20	12.66		17.42	""	"PRED"	1.00	""
27.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	27.00	27.00	19.10	12.86		16.65	""	"PRED"	1.00	""
28.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	28.00	28.00	20.40	12.81		16.99	""	"PRED"	1.00	""
29.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	29.00	29.00	21.20	12.75		17.19	""	"PRED"	1.00	""
30.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	30.00	30.00	12.40	12.30		14.44	""	"PRED"	1.00	""
31.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	31.00	31.00	20.90	12.78		17.11	""	"PRED"	1.00	""
32.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	32.00	32.00	17.10	12.85		16.09	""	"PRED"	1.00	""
33.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	33.00	33.00	11.70	12.15		14.14	""	"PRED"	1.00	""
34.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	34.00	34.00	13.40	12.49		14.84	""	"PRED"	1.00	""
35.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	35.00	35.00	20.50	12.80		17.01	""	"PRED"	1.00	""
36.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	36.00	36.00	14.10	12.60		15.10	""	"PRED"	1.00	""
37.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	37.00	37.00	12.60	12.34		14.52	""	"PRED"	1.00	""
38.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	38.00	38.00	15.90	12.79		15.71	""	"PRED"	1.00	""
39.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	39.00	39.00	14.10	12.60		15.10	""	"PRED"	1.00	""
40.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	40.00	40.00	23.10	12.56		17.63	""	"PRED"	1.00	""
41.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	41.00	41.00	33.70	10.13		19.56	""	"PRED"	1.00	""
42.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	42.00	42.00	19.30	12.86		16.71	""	"PRED"	1.00	""
43.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	43.00	43.00	20.70	12.79		17.06	""	"PRED"	1.00	""
44.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	44.00	44.00	19.50	12.85		16.76	""	"PRED"	1.00	""
45.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	45.00	45.00	22.80	12.59		17.56	""	"PRED"	1.00	""
46.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	46.00	46.00	19.70	12.84		16.81	""	"PRED"	1.00	""
47.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	47.00	47.00	28.80	11.49		18.76	""	"PRED"	1.00	""
48.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	48.00	48.00	23.00	12.57		17.60	""	"PRED"	1.00	""
49.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	49.00	49.00	19.50	12.85		16.76	""	"PRED"	1.00	""
50.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	50.00	50.00	11.30	12.05		13.96	""	"PRED"	1.00	""
51.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	51.00	51.00	16.90	12.84		16.03	""	"PRED"	1.00	""
52.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	52.00	52.00	13.40	12.49		14.84	""	"PRED"	1.00	""
53.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	53.00	53.00	15.80	12.78		15.68	""	"PRED"	1.00	""
54.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	54.00	54.00	22.20	12.66		17.42	""	"PRED"	1.00	""
55.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	55.00	55.00	17.30	12.86		16.15	""	"PRED"	1.00	""
56.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	56.00	56.00	23.90	12.45		17.80	""	"PRED"	1.00	""
57.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	57.00	57.00	11.90	12.19		14.23	""	"PRED"	1.00	""
58.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	58.00	58.00	24.90	12.29		18.01	""	"PRED"	1.00	""
59.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	59.00	59.00	17.60	12.87		16.23	""	"PRED"	1.00	""
60.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	60.00	60.00	15.70	12.77		15.65	""	"PRED"	1.00	""
61.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	61.00	61.00	12.00	12.22		14.27	""	"PRED"	1.00	""
62.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	62.00	62.00	14.20	12.61		15.13	""	"PRED"	1.00	""
63.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	63.00	63.00	20.00	12.83		16.89	""	"PRED"	1.00	""
64.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	64.00	64.00	14.20	12.61		15.13	""	"PRED"	1.00	""
65.00	1993.00	"Old-Field"	1.00	"OFB"	"OFB"	65.00	65.00	19.20	12.86		16.68	""	"PRED"	1.00	""
66.00	1999.00	"Old-Field"	1.00	"OFB"	"OFB"	1.00	1.00	21.08	14.31		19.24	""	"PRED"	1.00	""
67.00	1999.00	"Old-Field"	1.00	"OFB"	"OFB"	2.00	2.00	16.51	12.66		15.71	""	"PRED"	1.00	""
68.00	1999.00	"Old-Field"	1.00	"OFB"	"OFB"	3.00	3.00					""	"PRED"	0.00	""
69.00	1999.00	"Old-Field"	1.00	"OFB"	"OFB"	4.00	4.00	19.30	13.25		17.22	""	"PRED"	1.00	""
70.00	1999.00	"Old-Field"	1.00	"OFB"	"OFB"	5.00	5.00	25.90	12.50		18.81	""	"PRED"	1.00	""
